Tue Apr 15 10:31:42 2025    cprofile_batch_density.prof

         816132 function calls (811346 primitive calls) in 2429.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       85    0.001    0.000    0.001    0.000 weakref.py:165(__setitem__)
      598    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      600    0.001    0.000    0.001    0.000 utils.py:112(__format__)
      598    0.001    0.000    0.001    0.000 {method 'pop' of 'collections.deque' objects}
       14    0.000    0.000    0.001    0.000 format.py:390(_wrap_header_guess_version)
      189    0.001    0.000    0.001    0.000 {method '_acquire_restore' of '_thread.RLock' objects}
       14    0.001    0.000    0.001    0.000 format.py:243(dtype_to_descr)
      748    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       14    0.001    0.000    0.001    0.000 format.py:366(_wrap_header)
      600    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       14    0.000    0.000    0.001    0.000 threading.py:1028(_stop)
     1203    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      387    0.001    0.000    0.001    0.000 process.py:186(_get_chunks)
     1465    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      600    0.001    0.000    0.001    0.000 std.py:167(colour)
     1175    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
      598    0.001    0.000    0.001    0.000 {built-in method _stat.S_ISDIR}
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       14    0.001    0.000    0.001    0.000 {built-in method posix.cpu_count}
      746    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.RLock' objects}
       14    0.000    0.000    0.001    0.000 queue.py:34(__init__)
      603    0.001    0.000    0.001    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
       14    0.000    0.000    0.001    0.000 threading.py:422(__init__)
       14    0.001    0.000    0.001    0.000 01_compute_densitymap_batch.py:109(<listcomp>)
        2    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       14    0.000    0.000    0.001    0.000 process.py:537(_check_system_limits)
        1    0.000    0.000    0.001    0.001 synchronize.py:1(<module>)
        1    0.000    0.000    0.001    0.001 01_compute_densitymap_batch.py:141(<listcomp>)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
